city,cloudiness,date,humidity,latitude,longitude,maximum_temperature,wind_speed
chokurdakh,99,1562871333,93,70.62,147.9,56.19,13.65
yellowknife,90,1562871343,63,62.45,-114.38,60.8,4.7
peleduy,0,1562871505,73,59.63,112.75,62.49,3.13
ciudad real,0,1562871506,13,38.99,-3.93,98.6,3.36
praya,20,1562871506,100,-8.71,116.27,69.8,10.0
hobart,40,1562871311,75,-42.88,147.33,46.0,12.75
baiyin,0,1562871507,82,36.55,104.13,55.4,4.47
lompoc,0,1562871384,44,34.64,-120.46,90.0,6.93
husavik,72,1562871348,40,50.56,-96.99,82.99,5.01
new norfolk,40,1562871321,75,-42.78,147.06,46.0,12.75
faya,20,1562871467,46,18.39,42.45,75.2,5.82
puerto ayora,20,1562871329,65,-0.74,-90.35,78.8,18.34
punta arenas,90,1562871336,93,-53.16,-70.91,41.0,14.99
ghanzi,0,1562871510,22,-21.7,21.65,61.59,4.99
lebu,75,1562871371,82,8.96,38.73,62.6,6.93
shemonaikha,0,1562871473,78,50.63,81.92,60.87,11.63
cervantes,40,1562871511,54,-39.05,-67.39,55.4,9.17
butaritari,47,1562871392,75,3.07,172.79,83.91,10.96
bredasdorp,0,1562871100,76,-34.53,20.04,55.99,5.82
bambous virieux,20,1562871095,82,-20.34,57.76,68.0,6.93
clyde river,75,1562871368,71,70.47,-68.59,53.6,14.99
dunedin,49,1562871253,89,-45.87,170.5,46.0,18.01
port alfred,0,1562871323,88,-33.59,26.89,64.0,8.01
touros,40,1562871408,65,-5.2,-35.46,82.4,13.87
albany,90,1562871174,100,42.65,-73.75,84.0,4.7
saint-philippe,75,1562871332,88,45.36,-73.48,80.01,10.29
ushuaia,75,1562871095,93,-54.81,-68.31,37.4,18.34
salitral,75,1562871514,51,9.79,-84.12,82.4,13.87
busselton,61,1562871515,74,-33.64,115.35,46.99,12.26
khatanga,19,1562871385,66,71.98,102.47,47.37,7.38
misratah,0,1562871516,82,32.38,15.09,80.49,11.65
umm lajj,0,1562871466,75,25.02,37.27,85.71,1.12
maragogi,18,1562871366,80,-9.01,-35.22,77.61,10.76
kapaa,40,1562871094,74,22.08,-159.32,82.4,13.87
mocuba,4,1562871518,85,-16.84,36.99,60.15,3.04
rassvet,100,1562871518,75,49.11,45.47,64.65,5.32
mataura,82,1562871328,90,-46.19,168.86,44.01,5.99
ancud,75,1562871350,93,-41.87,-73.83,48.2,13.87
rikitea,69,1562871153,82,-23.12,-134.97,73.65,17.27
salalah,90,1562871166,88,17.01,54.1,80.6,5.82
provideniya,0,1562871349,49,64.42,-173.23,67.17,0.92
uarini,40,1562871520,74,-2.98,-65.16,84.2,6.93
vaini,100,1562871354,90,15.34,74.49,76.89,0.87
faanui,0,1562871344,69,-16.48,-151.75,77.97,9.13
port elizabeth,90,1562871323,78,39.31,-74.98,91.4,27.51
hasaki,75,1562871384,100,35.73,140.83,66.2,4.7
nome,75,1562871458,63,30.04,-94.42,93.99,8.05
hermanus,69,1562871339,88,-34.42,19.24,57.0,13.44
smithers,75,1562871503,77,54.78,-127.17,62.6,3.56
gushikawa,75,1562871524,88,26.35,127.87,80.6,8.05
umm kaddadah,99,1562871461,51,13.6,26.69,84.99,21.09
yarmouth,40,1562871397,49,43.84,-66.12,75.0,13.87
hearst,95,1562871525,42,49.69,-83.67,66.99,10.25
lagoa,0,1562871325,54,37.14,-8.45,82.0,5.82
lorengau,98,1562871116,83,-2.02,147.27,77.79,7.81
port lincoln,100,1562871344,71,-34.72,135.86,57.27,33.69
beringovskiy,0,1562871339,65,63.05,179.32,60.51,3.94
tuktoyaktuk,90,1562871394,80,69.44,-133.03,39.2,12.75
umba,100,1562871527,63,66.69,34.34,46.65,11.9
margate,20,1562871527,70,-43.03,147.26,46.4,21.92
kaitangata,70,1562871361,90,-46.28,169.85,39.99,1.99
ayan,72,1562871528,48,38.23,44.7,63.03,2.59
shevchenkove,0,1562871528,63,49.7,37.18,64.4,4.47
nikolskoye,40,1562871349,62,59.7,30.79,53.01,6.71
rio bravo,20,1562871530,49,14.4,-91.32,91.4,6.93
fort nelson,20,1562871530,43,58.81,-122.69,73.4,5.82
chapais,90,1562871437,88,49.78,-74.86,68.0,6.93
kahului,20,1562871308,58,20.89,-156.47,82.4,23.04
zhigansk,71,1562871531,58,66.77,123.37,66.09,6.96
hilo,1,1562871101,69,19.71,-155.08,78.8,7.58
avarua,0,1562871326,94,-21.21,-159.78,69.8,1.12
muros,0,1562871532,68,42.77,-9.06,84.0,12.75
pevek,48,1562871331,65,69.7,170.27,47.73,7.94
lasa,0,1562871533,88,34.92,32.53,84.0,8.05
vite,0,1562871533,68,42.89,-8.54,84.0,12.75
inuvik,75,1562871534,66,68.36,-133.71,48.2,13.87
jamestown,100,1562871340,83,-33.21,138.6,50.97,18.03
bethel,75,1562871235,88,60.79,-161.76,66.2,4.7
tazovskiy,100,1562871535,98,67.47,78.7,52.77,18.14
fortuna,90,1562871409,77,40.6,-124.16,80.01,10.29
ponta do sol,0,1562871122,39,-20.63,-46.0,70.59,5.84
dalby,0,1562871536,69,-27.18,151.26,33.8,4.56
san rafael del sur,40,1562871537,62,11.85,-86.44,87.8,13.87
upernavik,83,1562871365,72,72.79,-56.15,44.85,4.92
grindavik,90,1562871452,76,63.84,-22.43,55.4,10.29
sitka,14,1562871421,56,37.17,-99.65,82.99,3.0
loralai,0,1562871538,23,30.37,68.6,85.89,12.71
ewa beach,75,1562871375,83,21.32,-158.01,82.4,13.87
mulege,0,1562871539,32,26.88,-111.98,93.27,11.07
lazaro cardenas,40,1562871453,29,28.39,-105.62,88.0,8.05
puerto leguizamo,94,1562871540,47,-0.19,-74.78,90.93,1.19
aketi,99,1562871540,97,2.74,23.78,70.95,1.59
longyearbyen,75,1562871347,75,78.22,15.63,46.4,6.93
lata,96,1562871372,90,30.78,78.62,46.47,1.66
caravelas,42,1562871103,64,-17.73,-39.27,74.91,8.68
sioux lookout,40,1562871542,47,50.1,-91.92,77.0,8.05
abay,0,1562871542,81,49.63,72.87,50.0,11.18
bluff,0,1562871332,56,-23.58,149.07,54.75,1.61
coquimbo,0,1562871420,67,-29.95,-71.34,61.0,4.7
santa helena,2,1562871544,85,-2.23,-45.3,79.95,4.09
dikson,100,1562871380,96,73.51,80.55,32.97,3.98
york,90,1562871249,78,39.96,-76.73,87.01,10.45
kuryk,0,1562871545,41,43.18,51.68,85.71,3.51
strangnas,94,1562871545,45,59.38,17.03,66.0,8.05
shambu,36,1562871546,93,9.57,37.1,55.47,0.54
cidreira,100,1562871343,58,-30.17,-50.22,70.05,4.74
